Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.BetaFeatures.GamepadEmulatorTitle,,,Gamepad Emulator,Gamepad Emulator,,Gamepad-Emulator,,,Emulator Gamepad,Emulatore del gamepad,ゲームパッド仮想化機能,게임 패드 에뮬레이터,Emulator kontrolera,Emulador de controle,,อีมูเลเตอร์เกมแพด,Oyun Kolu Öykünücüsü,Trình Giả Lập Tay Cầm,,,手把模擬器
Studio.BetaFeatures.ScriptSyncTitle,,,Script Sync [Early Preview],Script Sync [Early Preview],,Synchronisation von Skripten [Frühe Vorschau],,,Sinkronisasi Skrip [Pratinjau Dini],Sincronizzazione script [Anteprima preliminare],スクリプト同期 [早期プレビュー],스크립트 동기화 [초기 미리 보기],Synchronizacja skryptu [Wczesny podgląd],Sincronização de script [visualização antecipada],,การซิงค์สคริปต์ [ดูตัวอย่างเบื้องต้น],Betik Senkronizasyonu [Erken Ön İzleme],Đồng Bộ Tập Lệnh [Bản Xem Trước Sớm],,,指令碼同步 [早期預覽]
Studio.BetaFeatures.LuauNonStrictByDefaultTitle,,,Scripts Are Non-Strict By Default,Scripts Are Non-Strict By Default,,Skripte sind standardmäßig nicht-strikt,,,Skrip secara Default Menggunakan Mode Non-Strict,Gli script sono non rigorosi come impostazione predefinita,スクリプトはデフォルトで非厳格,스크립트에 기본적으로 비엄격 모드 적용,Skrypty są domyślnie w trybie nieścisłym,Os scripts são não-restritos por padrão,,สคริปต์เป็นแบบ Non-Strict โดยค่าเริ่มต้น,Betiklerde katı olmayan mod varsayılan,Các Tập Lệnh Không Nghiêm Ngặt Theo Mặc Định,,,指令碼預設為非嚴格模式
Studio.BetaFeatures.PhysicsNewConvexDecompositionTitle,,,Enable CollisionFidelity.PreciseConvexDecomposition.,Enable CollisionFidelity.PreciseConvexDecomposition.,,CollisionFidelity.PreciseConvexDecomposition aktivieren.,,,Aktifkan CollisionFidelity.PreciseConvexDecomposition.,Abilita CollisionFidelity.PreciseConvexDecomposition.,CollisionFidelity.PreciseConvexDecomposition を有効化。,CollisionFidelity.PreciseConvexDecomposition 활성화,Udostępnia funkcję CollisionFidelity.PreciseConvexDecomposition.,Habilita CollisionFidelity.PreciseConvexDecomposition.,,เปิดใช้งาน CollisionFidelity.PreciseConvexDecomposition,CollisionFidelity.PreciseConvexDecomposition'ı etkinleştir.,Bật chức năng CollisionFidelity.PreciseConvexDecomposition.,,,啟用 CollisionFidelity.PreciseConvexDecomposition。
Studio.BetaFeatures.ScriptSyncDescription,,,"Very early preview for syncing Scripts with files on disk. Not ready for full workflows, please read the DevForum post linked before enabling.","Very early preview for syncing Scripts with files on disk. Not ready for full workflows, please read the DevForum post linked before enabling.",,Sehr frühe Vorschau für die Synchronisierung von Skripten mit Dateien auf der Festplatte. Nicht bereit für vollständige Arbeitsabläufe. Bitte lies vor der Aktivierung den verlinkten Beitrag im DevForum.,,,"Pratinjau sangat dini untuk sinkronisasi Skrip dengan file di disk. Karena ia belum siap untuk alur kerja penuh, maka silakan baca postingan DevForum yang tertaut sebelum melakukan pengaktifan.",Anteprima preliminare per la sincronizzazione degli script con i file sul disco. Non pronta per flussi di lavoro completi. Leggi il post di DevForum al link prima di abilitarla.,,스크립트를 디스크의 파일과 동기화하기 위한 초기 미리 보기입니다. 전체 워크플로에는 준비되지 않았습니다. 활성화하기 전에 연결된 DevForum 게시물을 확인하세요.,"Bardzo wczesny podgląd funkcji synchronizacji skryptów z plikami na dysku. Nie jest jeszcze gotowa do użycia w pełnych procedurach tworzenia. Zanim ją włączysz, przeczytaj post na forum deweloperów.","Visualização muito antecipada para sincronização de scripts com arquivos no disco. Não está pronta para fluxos de trabalho completos, leia a postagem vinculada no DevForum antes de ativar.",,การดูตัวอย่างเบื้องต้นสำหรับการซิงค์สคริปต์กับไฟล์ในดิสก์ ไม่พร้อมสำหรับกระแสงานเต็มรูปแบบ โปรดอ่านโพสต์ DevForum ที่เชื่อมโยงก่อนที่จะเปิดใช้งาน,Betiklerin diskteki dosyalara senkronizasyonunun çok erken bir ön izlemesi. Tam iş akışları için hazır değildir. Etkinleştirmeden önce lütfen bağlantıdaki Geliştirici Forumu gönderisini oku.,"Bản xem trước sớm để đồng bộ hóa Tập Lệnh với các tệp tin trên ổ đĩa. Chưa sẵn sàng cho quy trình làm việc hoàn thiện, vui lòng đọc bài đăng DevForum được liên kết trước khi bật.",,,將指令碼與磁碟上的檔案同步的非常早期預覽版本。尚未支援完整工作流程，啟用前請先閱讀連結的開發者論壇貼文。
Studio.BetaFeatures.MaterialGeneratorTitle,,,Material Generator,Material Generator,,Material Generator,,,Material Generator,Material Generator,素材生成,재질 생성기,Generator materiałów,Gerador de materiais,,เครื่องมือสร้างวัสดุ,Malzeme Oluşturucu,Trình Tạo Vật Liệu,,,材質產生器
Studio.BetaFeatures.UnifiedMeshMassDescription,,,Enable calculating masses for Mesh Parts and CSG Operations based on their Mesh instead of their Collision Fidelity. Old Mesh Parts and CSG Operations will not be affected until you change their Collision Fidelity.,Enable calculating masses for Mesh Parts and CSG Operations based on their Mesh instead of their Collision Fidelity. Old Mesh Parts and CSG Operations will not be affected until you change their Collision Fidelity.,,"Aktiviere die Berechnung der Massen für Mesh-Teile und CSG-Operationen anhand ihres Meshes und nicht ihrer Kollisionstreue. Alte Mesh-Teile und CSG-Operationen sind davon nicht betroffen, bis du ihre Kollisionstreue änderst.",,,"Mengaktifkan penghitungan massa untuk Komponen Mesh dan Operasi CSG berdasarkan Mesh, alih-alih berdasarkan Fidelitas Benturan. Komponen Mesh dan Operasi CSG lama tidak akan terdampak sampai Fidelitas Benturan diubah.",Abilita il calcolo delle masse per le parti di mesh e le operazioni CSG in base alla loro mesh anziché alla loro fedeltà di collisione. Le vecchie parti di mesh e operazioni CSG non saranno influenzate fino a quando non modificherai la loro fedeltà alla collisione.,メッシュパーツの質量計算と衝突忠実度ではなくメッシュに基づいたCSG操作ができるようになります。古いメッシュパーツとCSG操作は衝突忠実度を変更するまで影響を受けません。,메시 파트 및 CSG 작업에 대해 충돌 정확도 대신 메시를 기반으로 질량을 계산하도록 활성화합니다. 기존 메시 파트 및 CSG 작업은 충돌 정확도를 변경하지 않으면 영향을 받지 않습니다.,"Włącz obliczanie mas części siatki oraz operacji CSG na podstawie ich siatek zamiast wierności kolizji. Nie będzie to mieć wpływu na stare części siatki oraz operacje CSG, dopóki nie zmienisz ich wierności kolizji.",Ativar o cálculo de massas para peças de malha e operações CSG com base em suas malhas ao invés de sua fidelidade de colisão. As velhas peças de malha e as operações CSG não serão afetadas até que você mude sua fidelidade de colisão.,,เปิดใช้งานการคำนวณมวลสำหรับส่วนประกอบเมช และการดำเนินการ CSG ตามเมชแทนความเที่ยงตรงการชนกัน ส่วนประกอบเมชและการดำเนินการ CSG เก่าจะไม่ได้รับผลกระทบจนกว่าคุณจะเปลี่ยนแปลงความเที่ยงตรงการชนกันของรายการดังกล่าว,"Mesh Parçaları ve Yapıcı Katı Geometri (CSG) İşlemleri için kütlenin Çarpışma Bağlılığı yerine Mesh yapıları göz önünde bulundurularak hesaplanmasını etkinleştirir. Eski Mesh Parçaları ve Yapıcı Katı Geometri (CSG) İşlemleri, Çarpışma Bağlılıkları değiştirilene kadar etkilenmez.","Cho phép tính toán khối lượng của các Bộ Phận Lưới và Hoạt Động CSG dựa trên Lưới, thay vì Độ Chính Xác Của Va Chạm. Các Bộ Phận Lưới và Hoạt Động CSG Cũ sẽ không bị ảnh hưởng cho đến khi bạn thay đổi Độ Chính Xác Cho Va Chạm của chúng.",,,啟用根據網格零件和 CSG 運算的網格而非其碰撞真實度來計算其質量。舊版網格零件和 CSG 運算將不會受到影響，直到您變更其碰撞真實度為止。
Studio.BetaFeatures.SurfaceJoinChangesTitle,,,Surface Join Behavior Change,Surface Join Behavior Change,,Verhaltensänderung der Oberflächenverbindung,,,Perubahan Perilaku Gabung Permukaan,Modifica al funzionamento dell'unione di superfici,表面結合動作の変更,표면 결합 동작 변경,Zmiana zachowania łączenia powierzchni,Mudança no comportamento de junção de superfície,,การเปลี่ยนแปลงพฤติกรรมการประสานพื้นผิว,Yüzey birleştirme davranış değişimi,Thay Đổi Hành Vi Ghép Khớp Bề Mặt,,,表面結合行為變更
Studio.BetaFeatures.LSPLuauScriptEditorTitle,,,Luau-Powered Autocomplete & Language Features,Luau-Powered Autocomplete & Language Features,,Auto-Vervollständigung und Sprachfunktionen mit Luau-Unterstützung,,,Lengkapi Otomatis dan Fitur Bahasa yang Didukung Luau,Autocompletamento e funzionalità linguistiche basate su Luau,Luau 駆動自動補完と言語機能,Luau 기반 자동 완성 및 언어 기능,Funkcje autouzupełniania i języka obsługiwane przez Luau,Funcionalidades de idioma e auto completar utilizando Luau,,คุณสมบัติการเติมอัตโนมัติและภาษาที่เปิดโดย Luau,Luau Tabanlı Otomatik Tamamlama ve Dil Özellikleri,Tính Năng Tự Động Hoàn Thành & Ngôn Ngữ được hỗ trợ bởi Luau,,,Luau 支援的自動完成和語言功能
Studio.BetaFeatures.AvatarJointUpgradeTitle,,,Avatar Joint Upgrade,Avatar Joint Upgrade,,Verbesserung der Avatar-Verbindung,,,Upgrade Sendi Avatar,Aggiornamento delle articolazioni dell'avatar,,아바타 조인트 업그레이드,Ulepszenie stawów awatara,Melhoria da articulação de avatar,,การอัปเกรดข้อต่ออวาตาร์,Avatar Eklem Güncellemesi,Nâng Cấp Chung Cho Avatar,,,虛擬人偶關節升級
Studio.BetaFeatures.StudioIncrementalAutocompleteTitle,,,Incremental typechecking and autocompletion in studio,Incremental typechecking and autocompletion in studio,,Inkrementelle Typenüberprüfung und Auto-Vervollständigung in Studio,,,Typecheck inkremental dan melengkapi otomatis di studio,Controllo incrementale della tipologia e completamento automatico in Studio,,Studio 내 증분식 유형 검사 및 자동 완성,Przyrostowe sprawdzanie typów i autouzupełnianie w Studio,Checagem incremental de tipos e preenchimento automático no Studio,,การตรวจสอบความถูกต้องแบบเพิ่มสูงขึ้นและการเติมคำอัตโนมัติใน Studio,Studio'da aşamalı yazım kontrolü ve otomatik tamamlama,Kiểm tra đánh máy liên tục và tự động hoàn thành trong studio,,,Studio 中的增量類型檢查與自動完成
Studio.BetaFeatures.CSG4StudioTitle,,,Studio solid modeling improvements,Studio solid modeling improvements,,Verbesserungen der Körper-Modellierung in Studio,,,Penyempurnaan modeling padat Studio,Miglioramenti alla modellazione dei solidi di Studio,,Studio 솔리드 모델링 개선,Usprawnienia modelowania brył w aplikacji Studio,Melhorias de modelagem sólidas do Studio,,การปรับปรุงการสร้างแบบจำลองของแข็งของ Studio,Studio katı modelleme iyileştirmeleri,Các cải tiến khi dựng mô hình dạng đặc trong Studio,,,Studio 實體建模改善
